tract,year,Close-down,New open,is_cbd,post_covid,DID,ln(New open),ln(Close-down),census_track,tr_x,population,yr,TRACTCE10,SHAPE_AREA,tr_y,density,pop,area,post covid * density,inflows,density_rank,density_group,cbd
18400,2016,0,0,0,0,0,-inf,-inf,184.0,184.0,2434,2016,018400,24099629.7236,184.0,0.1009974023632596,0.2434,24.0996297236,0.0,0,0.9532934131736527,low_density,non-CBD
18400,2017,1,0,0,0,0,-inf,0.0,184.0,184.0,2241,2017,018400,24099629.7236,184.0,0.09298898056535118,0.2241,24.0996297236,0.0,-1,0.9595808383233533,low_density,non-CBD
18400,2018,0,0,0,0,0,-inf,-inf,184.0,184.0,2359,2018,018400,24099629.7236,184.0,0.0978853213537097,0.2359,24.0996297236,0.0,0,0.957185628742515,low_density,non-CBD
18400,2019,1,1,0,1,0,0.0,0.0,184.0,184.0,2242,2019,018400,24099629.7236,184.0,0.09303047497881184,0.2242,24.0996297236,0.09303047497881184,0,0.959131736526946,low_density,non-CBD
18400,2020,1,0,0,1,0,-inf,0.0,184.0,184.0,2377,2020,018400,24099629.7236,184.0,0.09863222079600167,0.2377,24.0996297236,0.09863222079600167,-1,0.9565868263473054,low_density,non-CBD
18400,2021,1,1,0,1,0,0.0,0.0,184.0,184.0,2242,2021,018400,24099629.7236,184.0,0.09303047497881184,0.2242,24.0996297236,0.09303047497881184,0,0.959131736526946,low_density,non-CBD
19000,2012,0,2,0,0,0,0.6931471805599453,-inf,190.0,190.0,7848,2012,019000,8516294.31877,190.0,0.9215275689454423,0.7848,8.51629431877,0.0,2,0.24850299401197604,low_density,non-CBD
19000,2013,0,0,0,0,0,-inf,-inf,190.0,190.0,8032,2013,019000,8516294.31877,190.0,0.943133210215315,0.8032,8.51629431877,0.0,0,0.23023952095808384,low_density,non-CBD
19000,2014,3,0,0,0,0,-inf,1.0986122886681098,190.0,190.0,7996,2014,019000,8516294.31877,190.0,0.9389060195320791,0.7996,8.51629431877,0.0,-3,0.23293413173652694,low_density,non-CBD
19000,2015,0,1,0,0,0,0.0,-inf,190.0,190.0,7949,2015,019000,8516294.31877,190.0,0.9333871872511876,0.7949,8.51629431877,0.0,1,0.23832335329341317,low_density,non-CBD
19000,2016,1,0,0,0,0,-inf,0.0,190.0,190.0,8371,2016,019000,8516294.31877,190.0,0.9829392558157871,0.8371,8.51629431877,0.0,-1,0.20479041916167665,low_density,non-CBD
19000,2017,0,2,0,0,0,0.6931471805599453,-inf,190.0,190.0,8220,2017,019000,8516294.31877,190.0,0.9652085393388806,0.822,8.51629431877,0.0,2,0.21586826347305388,low_density,non-CBD
19000,2018,0,0,0,0,0,-inf,-inf,190.0,190.0,7772,2018,019000,8516294.31877,190.0,0.9126034997252774,0.7772,8.51629431877,0.0,0,0.25808383233532933,low_density,non-CBD
19000,2019,0,1,0,1,0,0.0,-inf,190.0,190.0,7750,2019,019000,8516294.31877,190.0,0.9100202165299666,0.775,8.51629431877,0.9100202165299666,1,0.26122754491017963,low_density,non-CBD
19000,2020,1,0,0,1,0,-inf,0.0,190.0,190.0,7913,2020,019000,8516294.31877,190.0,0.9291599965679517,0.7913,8.51629431877,0.9291599965679517,-1,0.2440119760479042,low_density,non-CBD
19000,2021,1,0,0,1,0,-inf,0.0,190.0,190.0,7750,2021,019000,8516294.31877,190.0,0.9100202165299666,0.775,8.51629431877,0.9100202165299666,-1,0.26122754491017963,low_density,non-CBD
19100,2012,0,0,0,0,0,-inf,-inf,191.0,191.0,7574,2012,019100,15714151.9968,191.0,0.48198591954197434,0.7574,15.7141519968,0.0,0,0.6823353293413174,mid_density,non-CBD
19100,2013,0,0,0,0,0,-inf,-inf,191.0,191.0,8329,2013,019100,15714151.9968,191.0,0.5300317829238321,0.8329,15.7141519968,0.0,0,0.6347305389221557,mid_density,non-CBD
19100,2014,0,0,0,0,0,-inf,-inf,191.0,191.0,8397,2014,019100,15714151.9968,191.0,0.5343590924734564,0.8397,15.7141519968,0.0,0,0.6290419161676647,mid_density,non-CBD
19100,2015,1,0,0,0,0,-inf,0.0,191.0,191.0,8440,2015,019100,15714151.9968,191.0,0.5370954793945423,0.844,15.7141519968,0.0,-1,0.6260479041916168,mid_density,non-CBD
19100,2016,1,2,0,0,0,0.6931471805599453,0.0,191.0,191.0,8857,2016,019100,15714151.9968,191.0,0.5636320688385618,0.8857,15.7141519968,0.0,1,0.6005988023952096,mid_density,non-CBD
19100,2017,1,1,0,0,0,0.0,0.0,191.0,191.0,8712,2017,019100,15714151.9968,191.0,0.5544047175930394,0.8712,15.7141519968,0.0,0,0.608682634730539,mid_density,non-CBD
19100,2018,1,1,0,0,0,0.0,0.0,191.0,191.0,8280,2018,019100,15714151.9968,191.0,0.5269135745718969,0.828,15.7141519968,0.0,0,0.6374251497005988,mid_density,non-CBD
19100,2019,3,0,0,1,0,-inf,1.0986122886681098,191.0,191.0,8194,2019,019100,15714151.9968,191.0,0.5214408007297251,0.8194,15.7141519968,0.5214408007297251,-3,0.643562874251497,mid_density,non-CBD
19100,2020,0,1,0,1,0,0.0,-inf,191.0,191.0,8167,2020,019100,15714151.9968,191.0,0.5197226042909037,0.8167,15.7141519968,0.5197226042909037,1,0.645808383233533,mid_density,non-CBD
19100,2021,1,2,0,1,0,0.6931471805599453,0.0,191.0,191.0,8194,2021,019100,15714151.9968,191.0,0.5214408007297251,0.8194,15.7141519968,0.5214408007297251,1,0.643562874251497,mid_density,non-CBD
19200,2012,0,0,0,0,0,-inf,-inf,192.0,192.0,9285,2012,019200,7070677.46952,192.0,1.3131697832386522,0.9285,7.07067746952,0.0,0,0.06976047904191617,high_density,non-CBD
19200,2013,0,0,0,0,0,-inf,-inf,192.0,192.0,8105,2013,019200,7070677.46952,192.0,1.1462833702907136,0.8105,7.07067746952,0.0,0,0.12125748502994012,low_density,non-CBD
19200,2014,0,0,0,0,0,-inf,-inf,192.0,192.0,9150,2014,019200,7070677.46952,192.0,1.2940768461641,0.915,7.07067746952,0.0,0,0.07305389221556886,high_density,non-CBD
19200,2015,0,1,0,0,0,0.0,-inf,192.0,192.0,9510,2015,019200,7070677.46952,192.0,1.3449913450295727,0.951,7.07067746952,0.0,1,0.06407185628742515,high_density,non-CBD
