geoid,state,county,tract,block,lat,lng
421010373001006,42,101,037300,1006,39.911804197233955,-75.17425415961333
421010024002008,42,101,002400,2008,39.93363088581602,-75.15549174621283
421019893002002,42,101,989300,2002,40.00692878642651,-75.11415295280509
421010283004001,42,101,028300,4001,40.02462393486159,-75.14196764671824
421010160021001,42,101,016002,1001,39.98393301693962,-75.12114277709527
421010005004004,42,101,000500,4004,39.95320371794709,-75.15595336883311
421010002001003,42,101,000200,1003,39.956094274913255,-75.15761202649475
421010118003000,42,101,011800,3000,39.9858660967728,-75.23459934649122
421010025002008,42,101,002500,2008,39.932551217601784,-75.1471572317648
421010369026005,42,101,036902,6005,39.953910865727536,-75.18263123170513
421010379002011,42,101,037900,2011,39.989070748999026,-75.10077828218363
421019807012010,42,101,980701,2010,39.90217578722335,-75.15592819058692
421010199004026,42,101,019900,4026,40.003140452913314,-75.14042056385124
