tract,year,New open,count,is_cbd,post_covid,DID,open_ln,tr_x,population,yr,TRACTCE10,SHAPE_AREA,tr_y,pop,density,post covid * density,density_rank,density_group
11200.0,2021,2,16.0,0,1,0,0.6931471805599453,11200.0,5939.0,2021.0,011200,5416064.53652,11200.0,5.939,1.0965526647538812,1.0965526647538812,0.14801375095492741,low_density
11300.0,2013,3,10.0,0,0,0,1.0986122886681098,11300.0,3127.0,2013.0,011300,3604799.20939,11300.0,3.127,0.8674546953557359,0.0,0.3181818181818182,low_density
11300.0,2014,2,10.0,0,0,0,0.6931471805599453,11300.0,3016.0,2014.0,011300,3604799.20939,11300.0,3.016,0.8366624116382794,0.0,0.346829640947288,low_density
11300.0,2015,2,10.0,0,0,0,0.6931471805599453,11300.0,2912.0,2015.0,011300,3604799.20939,11300.0,2.912,0.8078119836507525,0.0,0.37662337662337664,low_density
11300.0,2016,3,10.0,0,0,0,1.0986122886681098,11300.0,2744.0,2016.0,011300,3604799.20939,11300.0,2.744,0.7612074461324398,0.0,0.4167303284950344,low_density
11300.0,2017,2,10.0,0,0,0,0.6931471805599453,11300.0,3311.0,2017.0,011300,3604799.20939,11300.0,3.311,0.918497760256745,0.0,0.26279602750190983,low_density
11300.0,2018,2,10.0,0,0,0,0.6931471805599453,11300.0,3031.0,2018.0,011300,3604799.20939,11300.0,3.031,0.8408235310595572,0.0,0.34186401833460656,low_density
11300.0,2019,3,10.0,0,1,0,1.0986122886681098,11300.0,3344.0,2019.0,011300,3604799.20939,11300.0,3.344,0.9276522229835564,0.9276522229835564,0.25687547746371275,low_density
11300.0,2020,1,10.0,0,1,0,0.0,11300.0,3387.0,2020.0,011300,3604799.20939,11300.0,3.387,0.939580765324553,0.939580765324553,0.24484339190221543,low_density
11300.0,2021,3,10.0,0,1,0,1.0986122886681098,11300.0,3344.0,2021.0,011300,3604799.20939,11300.0,3.344,0.9276522229835564,0.9276522229835564,0.25687547746371275,low_density
11400.0,2013,4,14.0,0,0,0,1.3862943611198906,11400.0,7708.0,2013.0,011400,10472023.1766,11400.0,7.708,0.736056430549516,0.0,0.43812070282658516,low_density
11400.0,2014,5,14.0,0,0,0,1.6094379124341003,11400.0,7503.0,2014.0,011400,10472023.1766,11400.0,7.503,0.7164804616519225,0.0,0.4549274255156608,low_density
11400.0,2015,2,14.0,0,0,0,0.6931471805599453,11400.0,7325.0,2015.0,011400,10472023.1766,11400.0,7.325,0.6994827910969389,0.0,0.4717341482047364,low_density
11400.0,2016,3,14.0,0,0,0,1.0986122886681098,11400.0,7219.0,2016.0,011400,10472023.1766,11400.0,7.219,0.6893605827889149,0.0,0.4862490450725745,low_density
11400.0,2017,3,14.0,0,0,0,1.0986122886681098,11400.0,7292.0,2017.0,011400,10472023.1766,11400.0,7.292,0.6963315375670823,0.0,0.4786096256684492,low_density
11400.0,2018,5,14.0,0,0,0,1.6094379124341003,11400.0,6362.0,2018.0,011400,10472023.1766,11400.0,6.362,0.6075234835438532,0.0,0.5905271199388846,mid_density
11400.0,2019,4,14.0,0,1,0,1.3862943611198906,11400.0,6864.0,2019.0,011400,10472023.1766,11400.0,6.864,0.6554607342101554,0.6554607342101554,0.5318945760122231,mid_density
11400.0,2020,2,14.0,0,1,0,0.6931471805599453,11400.0,6907.0,2020.0,011400,10472023.1766,11400.0,6.907,0.6595669130520897,0.6595669130520897,0.5255920550038197,mid_density
11400.0,2021,1,14.0,0,1,0,0.0,11400.0,6864.0,2021.0,011400,10472023.1766,11400.0,6.864,0.6554607342101554,0.6554607342101554,0.5318945760122231,mid_density
