tr,population,TRACTCE10,SHAPE_AREA,density,density_rank,density_group
290.0,7180.571428571428,029000,9035913.32085,794.6702423542016,0.6432291666666666,mid_density
291.0,4583.071428571428,029100,14287233.2878,320.7808913209918,0.19010416666666666,low_density
292.0,4325.714285714285,029200,18958895.7267,228.16277635950803,0.11458333333333333,low_density
293.0,2964.785714285714,029300,7379617.51023,401.7533036333899,0.2786458333333333,low_density
294.0,3487.4285714285716,029400,6971730.36149,500.2242471527883,0.34375,low_density
298.0,4873.785714285715,029800,6995382.12775,696.714721980931,0.5651041666666666,mid_density
333.0,4256.428571428572,033300,11213668.148,379.57504317512036,0.2578125,low_density
334.0,5309.0,033400,13163646.3581,403.3077048391844,0.28125,low_density
335.0,3930.8571428571427,033500,10147564.2242,387.3695259284785,0.2708333333333333,low_density
336.0,7155.857142857143,033600,12470599.9557,573.818193854128,0.4244791666666667,low_density
338.0,6271.857142857143,033800,15070180.15,416.1766535257472,0.2942708333333333,low_density
339.0,3128.285714285714,033900,12341402.3803,253.47894978930833,0.140625,low_density
340.0,3018.714285714286,034000,8203712.17824,367.9693070804334,0.24479166666666666,low_density
341.0,5971.857142857143,034100,14564423.8528,410.03044152062756,0.2838541666666667,low_density
342.0,3446.714285714286,034200,10407436.32,331.17803268137465,0.203125,low_density
9802.0,452.3076923076923,980200,58032080.6533,7.794097458092291,0.028645833333333332,low_density
344.0,8001.0,034400,36992942.8232,216.28449616022976,0.10416666666666667,low_density
346.0,2491.8571428571427,034600,20022286.806,124.4541728425555,0.06770833333333333,low_density
64.0,4303.142857142857,006400,7024535.46925,612.5875335073647,0.4661458333333333,low_density
65.0,4504.285714285715,006500,12267008.627,367.18696882397774,0.2421875,low_density
66.0,3624.0714285714284,006600,7010461.31332,516.9519189394325,0.3619791666666667,low_density
363.01,3827.5714285714284,036301,25611192.1043,149.44917101023177,0.0859375,low_density
364.0,742.4285714285714,036400,48325430.2552,15.363103184139439,0.03125,low_density
366.0,1931.0,036600,26338676.7309,73.31423745121523,0.046875,low_density
348.03,4443.714285714285,034803,13771924.4578,322.664729924328,0.19270833333333334,low_density
347.02,4046.214285714286,034702,10803481.8154,374.5287264654385,0.24739583333333334,low_density
362.02,6255.0,036202,12038851.9949,519.5678128321368,0.3671875,low_density
38.0,3913.8571428571427,003800,11719003.0386,333.9752647870896,0.2109375,low_density
83.02,4530.214285714285,008302,4576988.05409,989.7806662759546,0.796875,mid_density
176.02,4257.285714285715,017602,4288825.3951,992.6460795418905,0.8020833333333334,mid_density
10.02,3391.076923076923,001002,5076688.08284,667.9703120897448,0.5338541666666666,mid_density
10.01,2551.153846153846,001001,2469367.58187,1033.120328007996,0.8385416666666666,mid_density
4.02,3473.230769230769,000402,3268871.85163,1062.5166500482014,0.8567708333333334,mid_density
4.01,2440.0,000401,2513118.53678,970.9052574680042,0.7838541666666666,mid_density
122.04,3779.923076923077,012204,10009300.9052,377.6410673156347,0.2526041666666667,low_density
122.03,858.5384615384615,012203,2412016.83996,355.9421506993704,0.2265625,low_density
136.02,3799.076923076923,013602,2526093.51778,1503.93360195772,0.9661458333333334,high_density
345.01,3839.153846153846,034501,4814232.02162,797.4592476874354,0.6484375,mid_density
345.02,5237.538461538462,034502,11015831.633,475.4555657739383,0.328125,low_density
11.02,2535.230769230769,001102,2196706.76919,1154.1052291497215,0.8932291666666666,mid_density
9.02,2596.076923076923,000902,1669891.97733,1554.63764023096,0.9739583333333334,high_density
9.01,1981.1538461538462,000901,1135601.27593,1744.5857874115027,0.9869791666666666,high_density
172.01,3093.076923076923,017201,2830403.02164,1092.8044166956563,0.8671875,mid_density
172.02,3535.076923076923,017202,3127492.43866,1130.323091873423,0.8828125,mid_density
274.01,3095.5384615384614,027401,3516380.15419,880.3196258089222,0.7213541666666666,mid_density
201.01,3782.6153846153843,020101,5205038.8854,726.7218301145689,0.5963541666666666,mid_density
201.02,3236.076923076923,020102,4016145.67259,805.7668189585331,0.6510416666666666,mid_density
311.01,5225.615384615385,031101,3763010.33256,1388.6795205955136,0.9453125,high_density
311.02,4340.230769230769,031102,4285728.8477,1012.7170718138217,0.8177083333333334,mid_density
195.02,3679.0,019502,3985700.49898,923.0497878457026,0.7578125,mid_density
195.01,4463.923076923077,019501,4239561.68103,1052.9208943691012,0.8541666666666666,mid_density
289.01,4229.923076923077,028901,6428284.34316,658.0174197527396,0.5234375,mid_density
289.02,7002.076923076923,028902,8345275.05225,839.046871341774,0.6901041666666666,mid_density
331.01,4911.153846153846,033101,5241221.78604,937.024618808292,0.7630208333333334,mid_density
331.02,3879.3846153846157,033102,7951880.05298,487.8575367759478,0.3307291666666667,low_density
315.01,6424.538461538462,031501,6320977.41406,1016.3837078816492,0.828125,mid_density
305.01,5635.692307692308,030501,4062074.63137,1387.392605780751,0.9427083333333334,high_density
305.02,6844.692307692308,030502,7524320.15494,909.6758466874259,0.7447916666666666,mid_density
98.02,6070.307692307692,009802,6438493.24752,942.8149504770971,0.7708333333333334,mid_density
180.01,2668.923076923077,018001,4169687.15337,640.0775354971214,0.5026041666666666,mid_density
177.02,5596.461538461538,017702,5266839.18751,1062.5844722453685,0.859375,mid_density
177.01,3583.846153846154,017701,2593912.10089,1381.637470528202,0.9375,high_density
356.02,3528.923076923077,035602,15032859.0309,234.74730054139306,0.11979166666666667,low_density
357.01,4778.307692307692,035701,6450976.36306,740.710773592281,0.6015625,mid_density
357.02,4041.4615384615386,035702,16779145.169,240.86218324925554,0.12760416666666666,low_density
356.01,5430.846153846154,035601,21982911.0629,247.04854322099567,0.13541666666666666,low_density
151.01,2231.769230769231,015101,2078364.2204,1073.8104557726203,0.8645833333333334,mid_density
151.02,4089.4615384615386,015102,6014822.04211,679.8973452300104,0.546875,mid_density
365.01,5405.307692307692,036501,19608603.0505,275.66000894540326,0.15625,low_density
9804.0,0.0,980400,32013136.9441,0.0,0.009114583333333334,low_density
134.02,2932.0,013402,2568477.91802,1141.532103285604,0.8880208333333334,mid_density
134.01,2403.4615384615386,013401,1773363.31663,1355.3125385659505,0.9348958333333334,high_density
136.01,2698.3846153846157,013601,1804255.54312,1495.5667591955669,0.9635416666666666,high_density
379.0,4921.153846153846,037900,14796151.4136,332.59688337810115,0.20833333333333334,low_density
382.0,2755.5384615384614,038200,19961084.2993,138.0455300033522,0.078125,low_density
380.0,2387.076923076923,038000,9413510.77917,253.5798788650661,0.14322916666666666,low_density
381.0,862.1538461538461,038100,53377680.0656,16.151954245562525,0.033854166666666664,low_density
384.0,2462.769230769231,038400,24432759.5344,100.79783363405126,0.059895833333333336,low_density
1.0,3707.5714285714284,000100,7595557.09811,488.12369924702193,0.3333333333333333,low_density
2.0,2419.0,000200,4116628.18507,587.6168289312888,0.4322916666666667,low_density
3.0,3585.285714285714,000300,5887110.24019,609.0060433741772,0.4609375,low_density
5.0,2292.5,000500,4615443.89842,496.70195336677995,0.3359375,low_density
6.0,1385.142857142857,000600,1858607.39949,745.2584432424723,0.6145833333333334,mid_density
7.0,3192.6428571428573,000700,2757425.91342,1157.8345012298312,0.8958333333333334,mid_density
32.0,4545.357142857143,003200,5293091.77232,858.7338626220117,0.7057291666666666,mid_density
33.0,6201.428571428572,003300,12468030.2514,497.3863911448427,0.3385416666666667,low_density
36.0,7124.428571428572,003600,10387521.782,685.8641282248983,0.5520833333333334,mid_density
37.01,6289.357142857143,003701,3828073.65981,1642.9561449894632,0.9791666666666666,high_density
37.02,3784.8571428571427,003702,2663988.52471,1420.7482906740972,0.9505208333333334,high_density
41.01,5865.928571428572,004101,4025584.46923,1457.1619639993758,0.9583333333333334,high_density
40.02,4810.928571428572,004002,3711626.82148,1296.177876392818,0.9296875,high_density
39.02,5785.5,003902,4884109.17767,1184.5558298432663,0.9036458333333334,high_density
40.01,4134.928571428572,004001,3390382.00422,1219.6055094328121,0.9140625,high_density
41.02,8600.57142857143,004102,4218118.62534,2038.959117200784,0.9973958333333334,high_density
42.02,5393.428571428572,004202,4880089.89591,1105.190413797254,0.8697916666666666,mid_density
42.01,5570.571428571428,004201,3892831.88014,1430.9817634279882,0.953125,high_density
79.0,4510.142857142857,007900,4068519.26029,1108.5465174426574,0.875,mid_density
80.0,3771.8571428571427,008000,4633831.44234,813.9823793315244,0.6640625,mid_density
82.0,7026.357142857143,008200,9087194.92579,773.215189091622,0.6302083333333334,mid_density
176.01,5320.928571428572,017601,6254801.93035,850.6949749455661,0.6979166666666666,mid_density
83.01,4528.5,008301,5570578.17821,812.9317738890702,0.6614583333333334,mid_density
84.0,4933.928571428572,008400,5400678.01454,913.5757692173428,0.7526041666666666,mid_density
85.0,6778.0,008500,6688826.33461,1013.3317357827917,0.8203125,mid_density
90.0,5557.0,009000,4695147.11411,1183.5624880208616,0.8984375,mid_density
91.0,2699.6428571428573,009100,4580842.63131,589.3332459602157,0.4348958333333333,low_density
92.0,3399.785714285714,009200,5511217.48866,616.884694041051,0.4739583333333333,low_density
94.0,4014.5,009400,3947301.1151,1017.0240077816555,0.8333333333333334,mid_density
95.0,3269.5714285714284,009500,3434284.21563,952.0386850019762,0.7760416666666666,mid_density
96.0,4411.428571428572,009600,4362725.81948,1011.1633767428402,0.8151041666666666,mid_density
138.0,1950.5714285714287,013800,3673218.17194,531.0252038585663,0.3802083333333333,low_density
139.0,2753.9285714285716,013900,6059211.23945,454.50281605936357,0.3177083333333333,low_density
140.0,3190.3571428571427,014000,4732633.59707,674.1187707479215,0.5390625,mid_density
141.0,2388.214285714286,014100,6050683.33997,394.70158187556495,0.2734375,low_density
142.0,4059.4285714285716,014200,10807190.2177,375.62294080657944,0.25,low_density
143.0,1654.5714285714287,014300,8906356.9231,185.7742108089161,0.09895833333333333,low_density
144.0,3635.1428571428573,014400,6559737.17454,554.159832996323,0.4036458333333333,low_density
145.0,1742.7857142857142,014500,3460114.52043,503.67862219460073,0.3489583333333333,low_density
146.0,3715.9285714285716,014600,4790342.64054,775.712480351862,0.6328125,mid_density
147.0,3043.6428571428573,014700,3635330.91992,837.2395592558152,0.6875,mid_density
148.0,796.5,014800,2057343.7865,387.1496855443027,0.2682291666666667,low_density
149.0,3453.1428571428573,014900,4878158.85599,707.8783121018428,0.5807291666666666,mid_density
152.0,5878.428571428572,015200,7177709.24381,818.9839364833679,0.6666666666666666,mid_density
153.0,3921.785714285714,015300,5050219.95342,776.5574074907149,0.6354166666666666,mid_density
156.0,1750.4285714285713,015600,4624207.59633,378.5358972243802,0.2552083333333333,low_density
190.0,8046.0,019000,8516294.31877,944.7771177032402,0.7734375,mid_density
191.0,8162.214285714285,019100,15714151.9968,519.4180562448691,0.3645833333333333,low_density
